cyclone_name,year,province,province_psgc,category,category_ordinal,total_houses,province_housing_units,province_households,structural_vuln_frac,unimproved_water_frac,damage_rate,affected,deaths,houses_damaged,houses_destroyed
Conson,2010,Aurora,PH037700000,Strong typhoon,3,0,49066,49410,0.4004,0.0823,0.0,187,0,0,0
Conson,2010,Bataan,PH030800000,Strong typhoon,3,2927,170152,173212,0.1275,0.0695,0.9207,68692,10,2695,232
Conson,2010,Batangas,PH041000000,Strong typhoon,3,1240,597758,613825,0.1329,0.0416,0.9177,11605,4,1138,102
Conson,2010,Bulacan,PH031400000,Strong typhoon,3,0,741737,760964,0.0931,0.0168,0.0,189,3,0,0
Conson,2010,Camarines Norte,PH051600000,Strong typhoon,3,7939,128679,129994,0.4591,0.1341,0.9395,52561,18,7459,480
Conson,2010,Camarines Sur,PH051700000,Strong typhoon,3,120,396642,400615,0.478,0.102,0.9917,14845,2,119,1
Conson,2010,Catanduanes,PH052000000,Strong typhoon,3,569,53482,53814,0.4668,0.0861,0.9561,12885,0,544,25
Conson,2010,Cavite,PH042100000,Strong typhoon,3,35293,851871,877743,0.1109,0.0265,0.9275,247537,12,32735,2558
Conson,2010,Laguna,PH043400000,Strong typhoon,3,10052,731892,765513,0.1165,0.0428,0.8492,87977,10,8536,1516
Conson,2010,Metro Manila,PH137600000,Strong typhoon,3,62,2558664,2660330,0.1101,0.0268,0.0,2802,2,0,62
Conson,2010,Nueva Ecija,PH034900000,Strong typhoon,3,0,488461,496977,0.1968,0.0238,0.0,0,1,0,0
Conson,2010,Pampanga,PH035400000,Strong typhoon,3,0,561214,575301,0.0811,0.0175,0.0,221,0,0,0
Conson,2010,Quezon,PH045600000,Strong typhoon,3,1897,475649,485673,0.3965,0.1048,0.9299,19204,35,1764,133
Conson,2010,Rizal,PH045800000,Strong typhoon,3,13186,639940,652578,0.1486,0.052,0.8279,66678,3,10917,2269
Conson,2010,Zambales,PH037100000,Strong typhoon,3,1,195109,198666,0.1688,0.0601,1.0,0,0,1,0
Megi,2010,Abra,PH140100000,Violent typhoon,5,212,51593,52929,0.2792,0.338,0.9858,8726,0,209,3
Megi,2010,Apayao,PH148100000,Violent typhoon,5,1147,25418,25560,0.4634,0.2828,0.9494,35461,0,1089,58
Megi,2010,Aurora,PH037700000,Violent typhoon,5,9,49066,49410,0.4004,0.0823,1.0,2394,0,9,0
Megi,2010,Bataan,PH030800000,Violent typhoon,5,22,170152,173212,0.1275,0.0695,0.9091,20560,0,20,2
Megi,2010,Benguet,PH141100000,Violent typhoon,5,304,193848,196825,0.0649,0.2411,0.9342,30222,2,284,20
Megi,2010,Bulacan,PH031400000,Violent typhoon,5,0,741737,760964,0.0931,0.0168,0.0,120,0,0,0
Megi,2010,Cagayan,PH021500000,Violent typhoon,5,15785,267472,271967,0.2809,0.0237,0.9336,158267,1,14737,1048
Megi,2010,Cavite,PH042100000,Violent typhoon,5,0,851871,877743,0.1109,0.0265,0.0,372,0,0,0
Megi,2010,Ifugao,PH142700000,Violent typhoon,5,391,43217,43281,0.4509,0.374,0.8235,5797,2,322,69
Megi,2010,Ilocos Norte,PH012800000,Violent typhoon,5,85,131413,139336,0.1246,0.0415,1.0,7982,0,85,0
Megi,2010,Ilocos Sur,PH012900000,Violent typhoon,5,237,151238,157043,0.1684,0.062,0.9494,8771,2,225,12
Megi,2010,Isabela,PH023100000,Violent typhoon,5,98014,365099,372950,0.2136,0.0305,0.743,710460,2,72828,25186
Megi,2010,Kalinga,PH143200000,Violent typhoon,5,14531,41990,42115,0.3816,0.3494,0.8776,214637,1,12753,1778
Megi,2010,La Union,PH013300000,Violent typhoon,5,6105,174096,180675,0.1948,0.1305,0.9107,57543,2,5560,545
Megi,2010,Metro Manila,PH137600000,Violent typhoon,5,0,2558664,2660330,0.1101,0.0268,0.0,877,1,0,0
Megi,2010,Mountain Province,PH144400000,Violent typhoon,5,1237,34857,35038,0.2662,0.79,0.8723,25077,0,1079,158
Megi,2010,Nueva Ecija,PH034900000,Violent typhoon,5,26,488461,496977,0.1968,0.0238,0.8462,27247,1,22,4
Megi,2010,Nueva Vizcaya,PH025000000,Violent typhoon,5,37,108828,111340,0.3194,0.2707,0.973,6975,0,36,1
Megi,2010,Pampanga,PH035400000,Violent typhoon,5,23,561214,575301,0.0811,0.0175,0.4348,100664,0,10,13
Megi,2010,Pangasinan,PH015500000,Violent typhoon,5,9473,654240,674575,0.244,0.0196,0.8844,482392,10,8378,1095
Megi,2010,Quirino,PH025700000,Violent typhoon,5,23,43161,43506,0.344,0.1835,1.0,17142,0,23,0
Megi,2010,Rizal,PH045800000,Violent typhoon,5,0,639940,652578,0.1486,0.052,0.0,411,0,0,0
Megi,2010,Tarlac,PH036900000,Violent typhoon,5,130,306044,311994,0.1496,0.0144,0.9,74621,2,117,13
Megi,2010,Zambales,PH037100000,Violent typhoon,5,431,195109,198666,0.1688,0.0601,0.9002,12266,5,388,43
Aere,2011,Albay,PH050500000,Tropical storm,1,0,275601,277091,0.3791,0.0926,0.0,85077,6,0,0
Aere,2011,Bulacan,PH031400000,Tropical storm,1,41,741737,760964,0.0931,0.0168,0.9024,465,1,37,4
Aere,2011,Camarines Norte,PH051600000,Tropical storm,1,888,128679,129994,0.4591,0.1341,0.9775,21275,0,868,20
Aere,2011,Camarines Sur,PH051700000,Tropical storm,1,1092,396642,400615,0.478,0.102,0.989,196904,16,1080,12
Aere,2011,Catanduanes,PH052000000,Tropical storm,1,0,53482,53814,0.4668,0.0861,0.0,0,2,0,0
Aere,2011,Cebu,PH072200000,Tropical storm,1,0,1058512,1077180,0.395,0.0779,0.0,39,0,0,0
Aere,2011,Eastern Samar,PH082600000,Tropical storm,1,45,105653,106292,0.6288,0.1017,1.0,14250,0,45,0
Aere,2011,Leyte,PH083700000,Tropical storm,1,5,451667,455889,0.5322,0.0808,0.8,6860,1,4,1
Aere,2011,Masbate,PH054100000,Tropical storm,1,11,187299,188013,0.6686,0.1199,1.0,6932,2,11,0
Aere,2011,Metro Manila,PH137600000,Tropical storm,1,0,2558664,2660330,0.1101,0.0268,0.0,535,1,0,0
Aere,2011,Negros Oriental,PH074600000,Tropical storm,1,0,307894,310626,0.6078,0.1506,0.0,0,1,0,0
Aere,2011,Northern Samar,PH084800000,Tropical storm,1,1373,124909,126619,0.6455,0.1373,0.9934,66366,3,1364,9
Aere,2011,Rizal,PH045800000,Tropical storm,1,0,639940,652578,0.1486,0.052,0.0,45,0,0,0
Aere,2011,Samar,PH086000000,Tropical storm,1,147,162886,165264,0.6584,0.116,0.8776,3020,1,129,18
Aere,2011,Sorsogon,PH056200000,Tropical storm,1,6596,166106,166842,0.5304,0.1066,1.0,29781,1,6596,0
Aere,2011,Zambales,PH037100000,Tropical storm,1,0,195109,198666,0.1688,0.0601,0.0,288,0,0,0
Banyan,2011,Agusan del Norte,PH160200000,Tropical storm,1,0,151197,153815,0.6199,0.1163,0.0,0,1,0,0
Banyan,2011,Capiz,PH061900000,Tropical storm,1,2,178303,179983,0.5324,0.1154,0.0,38621,0,0,2
Banyan,2011,Cebu,PH072200000,Tropical storm,1,3,1058512,1077180,0.395,0.0779,0.6667,11390,2,2,1
Banyan,2011,Dinagat Islands,PH168500000,Tropical storm,1,0,27902,28557,0.5835,0.094,0.0,184,0,0,0
Banyan,2011,Iloilo,PH063000000,Tropical storm,1,4,524258,530649,0.503,0.1004,0.0,1546,5,0,4
Banyan,2011,Misamis Oriental,PH104300000,Tropical storm,1,0,353856,362194,0.4574,0.0805,0.0,1229,0,0,0
Banyan,2011,Negros Occidental,PH064500000,Tropical storm,1,0,690110,701650,0.5036,0.1468,0.0,15,0,0,0
Banyan,2011,Occidental Mindoro,PH175100000,Tropical storm,1,0,110275,111714,0.4695,0.0883,0.0,657,0,0,0
Banyan,2011,Oriental Mindoro,PH175200000,Tropical storm,1,17,188988,190763,0.4002,0.1714,0.4118,1740,0,7,10
Banyan,2011,Romblon,PH175900000,Tropical storm,1,31,67971,68362,0.4938,0.1383,0.6129,5305,2,19,12
Banyan,2011,South Cotabato,PH126300000,Tropical storm,1,0,359332,362258,0.4419,0.0872,0.0,232,0,0,0
Banyan,2011,Southern Leyte,PH086400000,Tropical storm,1,0,92405,92836,0.4088,0.0588,0.0,1832,0,0,0
Dodong,2011,Batangas,PH041000000,Tropical storm,1,336,597758,613825,0.1329,0.0416,0.8929,1086,1,300,36
Dodong,2011,Cavite,PH042100000,Tropical storm,1,0,851871,877743,0.1109,0.0265,0.0,40,0,0,0
Dodong,2011,Metro Manila,PH137600000,Tropical storm,1,0,2558664,2660330,0.1101,0.0268,0.0,25,0,0,0
Dodong,2011,Romblon,PH175900000,Tropical storm,1,0,67971,68362,0.4938,0.1383,0.0,0,1,0,0
Dodong,2011,Zambales,PH037100000,Tropical storm,1,0,195109,198666,0.1688,0.0601,0.0,0,0,0,0
Egay,2011,Bataan,PH030800000,Tropical storm,1,0,170152,173212,0.1275,0.0695,0.0,0,2,0,0
Egay,2011,Zambales,PH037100000,Tropical storm,1,5,195109,198666,0.1688,0.0601,1.0,2478,0,5,0
Juaning,2011,Albay,PH050500000,Severe tropical storm,2,530,275601,277091,0.3791,0.0926,0.6604,557448,14,350,180
Juaning,2011,Aurora,PH037700000,Severe tropical storm,2,330,49066,49410,0.4004,0.0823,0.8061,6848,0,266,64
Juaning,2011,Batangas,PH041000000,Severe tropical storm,2,202,597758,613825,0.1329,0.0416,0.9901,1230,0,200,2
Juaning,2011,Benguet,PH141100000,Severe tropical storm,2,0,193848,196825,0.0649,0.2411,0.0,0,1,0,0
Juaning,2011,Bulacan,PH031400000,Severe tropical storm,2,0,741737,760964,0.0931,0.0168,0.0,179,0,0,0
Juaning,2011,Camarines Norte,PH051600000,Severe tropical storm,2,4910,128679,129994,0.4591,0.1341,0.9358,37136,7,4595,315
Juaning,2011,Camarines Sur,PH051700000,Severe tropical storm,2,2,396642,400615,0.478,0.102,0.0,319084,8,0,2
Juaning,2011,Catanduanes,PH052000000,Severe tropical storm,2,0,53482,53814,0.4668,0.0861,0.0,227,6,0,0
Juaning,2011,Cavite,PH042100000,Severe tropical storm,2,0,851871,877743,0.1109,0.0265,0.0,0,2,0,0
Juaning,2011,Cebu,PH072200000,Severe tropical storm,2,4,1058512,1077180,0.395,0.0779,1.0,0,0,4,0
Juaning,2011,Ifugao,PH142700000,Severe tropical storm,2,25,43217,43281,0.4509,0.374,0.8,212,4,20,5
Juaning,2011,Iloilo,PH063000000,Severe tropical storm,2,0,524258,530649,0.503,0.1004,0.0,0,1,0,0
Juaning,2011,Isabela,PH023100000,Severe tropical storm,2,6,365099,372950,0.2136,0.0305,1.0,1304,0,6,0
Juaning,2011,Kalinga,PH143200000,Severe tropical storm,2,49,41990,42115,0.3816,0.3494,0.8776,3379,0,43,6
Juaning,2011,La Union,PH013300000,Severe tropical storm,2,0,174096,180675,0.1948,0.1305,0.0,5,0,0,0
Juaning,2011,Lanao del Norte,PH103500000,Severe tropical storm,2,0,201777,216943,0.575,0.168,0.0,3115,0,0,0
Juaning,2011,Leyte,PH083700000,Severe tropical storm,2,0,451667,455889,0.5322,0.0808,0.0,0,1,0,0
Juaning,2011,Marinduque,PH174000000,Severe tropical storm,2,0,54341,54508,0.3564,0.0763,0.0,0,3,0,0
Juaning,2011,Masbate,PH054100000,Severe tropical storm,2,0,187299,188013,0.6686,0.1199,0.0,740,12,0,0
