Barangay,Population
CITY OF CEBU (Capital),"964,169"
Adlaon,"4,413"
Agsungot,"2,772"
Apas,"24,194"
Babag,"5,945"
Basak Pardo,"17,854"
Bacayan,"14,460"
Banilad,"6,336"
Basak San Nicolas,"38,965"
Binaliw,"3,493"
Bonbon,"6,108"
Budla-an (Pob.),"8,756"
Buhisan,"19,088"
Bulacao,"28,675"
Buot-Taup Pardo,"2,927"
Busay (Pob.),"17,145"
Calamba,"9,834"
Cambinocot,"3,424"
Capitol Site (Pob.),"12,604"
Carreta,"11,398"
Central (Pob.),781
Cogon Ramos (Pob.),"2,693"
Cogon Pardo,"23,828"
Day-as,"3,815"
Duljo (Pob.),"15,851"
Ermita (Pob.),"8,541"
Guadalupe,"70,039"
Guba,"5,732"
Hippodromo,"9,574"
Inayawan,"32,675"
Kalubihan (Pob.),663
Kalunasan,"28,230"
Kamagayan (Pob.),"2,004"
Camputhaw (Pob.),"17,664"
Kasambagan,"7,967"
Kinasang-an Pardo,"18,756"
Labangon,"32,825"
Lahug (Pob.),"45,853"
Lorega (Lorega San Miguel),"12,273"
Lusaran,"2,595"
Luz,"16,175"
Mabini,"2,307"
Mabolo,"21,616"
Malubog,"3,316"
Mambaling,"30,459"
Pahina Central (Pob.),"5,639"
Pahina San Nicolas,"2,743"
Pamutan,"1,773"
Pardo (Pob.),"12,016"
Pari-an,"1,058"
Paril,"1,847"
Pasil,"8,395"
Pit-os,"7,752"
Pulangbato,"8,037"
Pung-ol-Sibugay,"2,333"
Punta Princesa,"22,658"
Quiot Pardo,"27,984"
Sambag I (Pob.),"11,526"
Sambag II (Pob.),"12,173"
San Antonio (Pob.),"2,060"
San Jose,"8,027"
San Nicolas Central,"5,327"
San Roque (Ciudad),"3,617"
Santa Cruz (Pob.),"2,105"
Sawang Calero (Pob.),"7,676"
Sinsin,"2,578"
Sirao,"3,647"
Suba Pob. (Suba San Nicolas),"10,606"
Sudlon I,"3,273"
Sapangdaku,"8,214"
T. Padilla,"6,719"
Tabunan,"2,270"
Tagbao,"1,744"
Talamban,"33,382"
Taptap,"2,484"
Tejero (Villa Gonzalo),"14,084"
Tinago,"6,700"
Tisa,"47,364"
To-ong Pardo,"4,549"
Zapatera,"2,957"
Sudlon II,"4,229"
,
,
Source:,
"Philippine Statistics Authority, 2020 Census of Population and Housing",
