Cyclone Name,Province,Deaths,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Year,Category
Conson,Metro Manila,2.0,2802.0,62.0,0.0,62,1705000.0,0.0,2010,Strong typhoon
Conson,Aurora,0.0,187.0,0.0,0.0,0,19300000.0,0.0,2010,Strong typhoon
Conson,Bataan,10.0,68692.0,232.0,2695.0,2927,4950000.0,579332.0,2010,Strong typhoon
Conson,Bulacan,3.0,189.0,0.0,0.0,0,23761000.0,0.0,2010,Strong typhoon
Conson,Pampanga,0.0,221.0,0.0,0.0,0,0.0,0.0,2010,Strong typhoon
Conson,Batangas,4.0,11605.0,102.0,1138.0,1240,15000000.0,0.0,2010,Strong typhoon
Conson,Cavite,12.0,247537.0,2558.0,32735.0,35293,0.0,11822730.0,2010,Strong typhoon
Conson,Laguna,10.0,87977.0,1516.0,8536.0,10052,3330000.0,47287410.0,2010,Strong typhoon
Conson,Quezon,35.0,19204.0,133.0,1764.0,1897,4585000.0,145210000.0,2010,Strong typhoon
Conson,Rizal,3.0,66678.0,2269.0,10917.0,13186,350000.0,26825503.0,2010,Strong typhoon
Conson,Camarines Norte,18.0,52561.0,480.0,7459.0,7939,53200000.0,5632999.0,2010,Strong typhoon
Conson,Camarines Sur,2.0,14845.0,1.0,119.0,120,0.0,150000.0,2010,Strong typhoon
Conson,Catanduanes,0.0,12885.0,25.0,544.0,569,8400000.0,401906.0,2010,Strong typhoon
Conson,Nueva Ecija,1.0,0.0,0.0,0.0,0,2400000.0,0.0,2010,Strong typhoon
Conson,Zambales,0.0,0.0,0.0,1.0,1,0.0,1500000.0,2010,Strong typhoon
Megi,Metro Manila,1.0,877.0,0.0,0.0,0,0.0,0.0,2010,Violent typhoon
Megi,Ilocos Norte,0.0,7982.0,0.0,85.0,85,36920000.0,151046117.0,2010,Violent typhoon
Megi,Ilocos Sur,2.0,8771.0,12.0,225.0,237,2800000.0,165377858.0,2010,Violent typhoon
Megi,La Union,2.0,57543.0,545.0,5560.0,6105,9175000.0,268300770.0,2010,Violent typhoon
Megi,Pangasinan,10.0,482392.0,1095.0,8378.0,9473,9245000.0,2406270823.0,2010,Violent typhoon
Megi,Cagayan,1.0,158267.0,1048.0,14737.0,15785,33900000.0,496408990.0,2010,Violent typhoon
Megi,Isabela,2.0,710460.0,25186.0,72828.0,98014,205649000.0,2089965630.0,2010,Violent typhoon
Megi,Nueva Vizcaya,0.0,6975.0,1.0,36.0,37,5150000.0,123488000.0,2010,Violent typhoon
Megi,Quirino,0.0,17142.0,0.0,23.0,23,4000000.0,58083000.0,2010,Violent typhoon
Megi,Aurora,0.0,2394.0,0.0,9.0,9,100000.0,44977172.0,2010,Violent typhoon
Megi,Bataan,0.0,20560.0,2.0,20.0,22,3900000.0,109269882.0,2010,Violent typhoon
Megi,Bulacan,0.0,120.0,0.0,0.0,0,0.0,579592911.0,2010,Violent typhoon
Megi,Nueva Ecija,1.0,27247.0,4.0,22.0,26,17700000.0,1587045618.0,2010,Violent typhoon
Megi,Pampanga,0.0,100664.0,13.0,10.0,23,150000.0,113428605.0,2010,Violent typhoon
Megi,Tarlac,2.0,74621.0,13.0,117.0,130,6600000.0,645425917.0,2010,Violent typhoon
Megi,Zambales,5.0,12266.0,43.0,388.0,431,11568750.0,80854150.0,2010,Violent typhoon
Megi,Cavite,0.0,372.0,0.0,0.0,0,0.0,0.0,2010,Violent typhoon
Megi,Rizal,0.0,411.0,0.0,0.0,0,0.0,0.0,2010,Violent typhoon
Megi,Abra,0.0,8726.0,3.0,209.0,212,25425000.0,118312579.0,2010,Violent typhoon
Megi,Apayao,0.0,35461.0,58.0,1089.0,1147,19050000.0,309963089.0,2010,Violent typhoon
Megi,Benguet,2.0,30222.0,20.0,284.0,304,22080094.0,56457746.0,2010,Violent typhoon
Megi,Ifugao,2.0,5797.0,69.0,322.0,391,9364900.0,381895213.0,2010,Violent typhoon
Megi,Kalinga,1.0,214637.0,1778.0,12753.0,14531,13170000.0,442055166.0,2010,Violent typhoon
Megi,Mountain Province,0.0,25077.0,158.0,1079.0,1237,19750000.0,117570528.0,2010,Violent typhoon
Aere,Metro Manila,1.0,535.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Aere,Bulacan,1.0,465.0,4.0,37.0,41,0.0,0.0,2011,Tropical storm
Aere,Catanduanes,2.0,0.0,0.0,0.0,0,1469000.0,14718889.0,2011,Tropical storm
Aere,Camarines Sur,16.0,196904.0,12.0,1080.0,1092,330800000.0,534194064.0,2011,Tropical storm
Aere,Albay,6.0,85077.0,0.0,0.0,0,280897990.0,310771168.0,2011,Tropical storm
Aere,Sorsogon,1.0,29781.0,0.0,6596.0,6596,15150000.0,106982688.0,2011,Tropical storm
Aere,Masbate,2.0,6932.0,0.0,11.0,11,30670000.0,35476650.0,2011,Tropical storm
Aere,Negros Oriental,1.0,0.0,0.0,0.0,0,200000.0,0.0,2011,Tropical storm
Aere,Leyte,1.0,6860.0,1.0,4.0,5,23500000.0,0.0,2011,Tropical storm
Aere,Northern Samar,3.0,66366.0,9.0,1364.0,1373,28060000.0,0.0,2011,Tropical storm
Aere,Samar,1.0,3020.0,18.0,129.0,147,0.0,0.0,2011,Tropical storm
Aere,Zambales,0.0,288.0,0.0,0.0,0,0.0,12569360.0,2011,Tropical storm
Aere,Rizal,0.0,45.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Aere,Camarines Norte,0.0,21275.0,20.0,868.0,888,508500000.0,16783466.0,2011,Tropical storm
Aere,Cebu,0.0,39.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Aere,Eastern Samar,0.0,14250.0,0.0,45.0,45,0.0,0.0,2011,Tropical storm
Songda,Metro Manila,0.0,2725.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Isabela,0.0,126.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Albay,0.0,223110.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Camarines Norte,1.0,2710.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Camarines Sur,0.0,146697.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Catanduanes,1.0,13349.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Sorsogon,0.0,1281.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Zamboanga del Sur,0.0,8258.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Bukidnon,0.0,596.0,56.0,43.0,99,0.0,1422000.0,2011,Violent typhoon
Songda,Davao del Norte,0.0,48015.0,27.0,0.0,27,5488125.0,8823374.0,2011,Violent typhoon
Songda,Davao Oriental,0.0,40.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Benguet,2.0,0.0,0.0,0.0,0,0.0,0.0,2011,Violent typhoon
Songda,Lanao del Sur,0.0,0.0,0.0,5.0,5,0.0,0.0,2011,Violent typhoon
Dodong,Batangas,1.0,1086.0,36.0,300.0,336,0.0,0.0,2011,Tropical storm
Dodong,Romblon,1.0,0.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Dodong,Zambales,0.0,0.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Dodong,Cavite,0.0,40.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Dodong,Metro Manila,0.0,25.0,0.0,0.0,0,0.0,0.0,2011,Tropical storm
Meari,Metro Manila,0.0,72687.0,0.0,22.0,22,0.0,0.0,2011,Severe tropical storm
Meari,Pangasinan,0.0,78580.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Meari,Bataan,4.0,190134.0,8.0,25.0,33,17635700.0,1301257.0,2011,Severe tropical storm
Meari,Bulacan,2.0,511207.0,61.0,33.0,94,70800000.0,80256771.0,2011,Severe tropical storm
Meari,Nueva Ecija,0.0,40085.0,0.0,0.0,0,48500000.0,34151272.25,2011,Severe tropical storm
Meari,Pampanga,3.0,592172.0,1.0,13.0,14,120030000.0,34212657.0,2011,Severe tropical storm
Meari,Tarlac,0.0,67100.0,4.0,7.0,11,95500000.0,40292760.0,2011,Severe tropical storm
Meari,Zambales,1.0,25914.0,26.0,31.0,57,22575000.0,14088224.0,2011,Severe tropical storm
Meari,Batangas,0.0,4512.0,36.0,1035.0,1071,0.0,0.0,2011,Severe tropical storm
Meari,Cavite,0.0,8870.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Meari,Rizal,1.0,91042.0,0.0,0.0,0,0.0,900600.0,2011,Severe tropical storm
Meari,Albay,0.0,107253.0,4.0,25.0,29,30800000.0,15962630.0,2011,Severe tropical storm
Meari,Camarines Sur,0.0,2820.0,0.0,0.0,0,0.0,2209222.5,2011,Severe tropical storm
Meari,Mountain Province,1.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Meari,Iloilo,0.0,0.0,25.0,24.0,49,0.0,0.0,2011,Severe tropical storm
Juaning,Nueva Ecija,1.0,4603.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Cavite,2.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Quezon,2.0,1338.0,1.0,33.0,34,0.0,0.0,2011,Severe tropical storm
Juaning,Marinduque,3.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Albay,14.0,557448.0,180.0,350.0,530,1200279899.66,71145449.66,2011,Severe tropical storm
Juaning,Catanduanes,6.0,227.0,0.0,0.0,0,13114000.0,9389830.58,2011,Severe tropical storm
Juaning,Camarines Sur,8.0,319084.0,2.0,0.0,2,19750000.0,98494579.09,2011,Severe tropical storm
Juaning,Camarines Norte,7.0,37136.0,315.0,4595.0,4910,0.0,9225826.4,2011,Severe tropical storm
Juaning,Masbate,12.0,740.0,0.0,0.0,0,8200000.0,35165094.0,2011,Severe tropical storm
Juaning,Sorsogon,2.0,14782.0,1.0,4.0,5,1550000.0,4296288.46,2011,Severe tropical storm
Juaning,Iloilo,1.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Siquijor,1.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Leyte,1.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Metro Manila,1.0,370.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Ifugao,4.0,212.0,5.0,20.0,25,0.0,15148036.57,2011,Severe tropical storm
Juaning,Benguet,1.0,0.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,La Union,0.0,5.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Pangasinan,0.0,1130.0,0.0,0.0,0,0.0,0.0,2011,Severe tropical storm
Juaning,Isabela,0.0,1304.0,0.0,6.0,6,0.0,14343.78,2011,Severe tropical storm
Juaning,Quirino,0.0,20253.0,8.0,96.0,104,0.0,267834.51,2011,Severe tropical storm
Juaning,Nueva Vizcaya,0.0,425.0,0.0,8.0,8,0.0,1364.96,2011,Severe tropical storm
Juaning,Aurora,0.0,6848.0,64.0,266.0,330,0.0,0.0,2011,Severe tropical storm
Juaning,Bulacan,0.0,179.0,0.0,0.0,0,0.0,841905.0,2011,Severe tropical storm
Juaning,Pampanga,0.0,7358.0,5.0,0.0,5,0.0,0.0,2011,Severe tropical storm
