Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Number of Evacuation Center
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Adams,PH012801000,3
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Bacarra,PH012802000,3
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Badoc,PH012803000,1
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Bangui,PH012804000,0
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,City of Batac,PH012805000,78
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Burgos,PH012806000,1
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Carasi,PH012807000,3
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Currimao,PH012808000,8
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Dingras,PH012809000,1
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Dumalneg,PH012810000,7
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Banna (Espiritu),PH012811000,1
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,City of Laoag (Capital),PH012812000,11
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Marcos,PH012813000,2
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Nueva Era,PH012814000,2
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Pagudpud,PH012815000,13
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Paoay,PH012816000,1
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Pasuquin,PH012817000,36
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Piddig,PH012818000,45
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Pinili,PH012819000,3
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,San Nicolas,PH012820000,37
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Sarrat,PH012821000,5
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Solsona,PH012822000,7
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,Vintar,PH012823000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Alilem,PH012901000,3
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Banayoyo,PH012902000,8
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Bantay,PH012903000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Burgos,PH012904000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Cabugao,PH012905000,3
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,City of Candon,PH012906000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Caoayan,PH012907000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Cervantes,PH012908000,6
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Galimuyod,PH012909000,6
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Gregorio Del Pilar (Concepcion),PH012910000,22
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Lidlidda,PH012911000,6
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Magsingal,PH012912000,1
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Nagbukel,PH012913000,3
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Narvacan,PH012914000,2
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Quirino (Angkaki),PH012915000,42
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Salcedo (Baugen),PH012916000,1
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Emilio,PH012917000,11
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Esteban,PH012918000,6
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Ildefonso,PH012919000,4
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Juan (Lapog),PH012920000,31
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,San Vicente,PH012921000,6
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa,PH012922000,4
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Catalina,PH012923000,4
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Cruz,PH012924000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Lucia,PH012925000,1
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santa Maria,PH012926000,37
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santiago,PH012927000,11
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Santo Domingo,PH012928000,2
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sigay,PH012929000,1
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sinait,PH012930000,5
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Sugpon,PH012931000,9
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Suyo,PH012932000,1
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,Tagudin,PH012933000,13
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,City of Vigan (Capital),PH012934000,20
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Agoo,PH013301000,5
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Aringay,PH013302000,1
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bacnotan,PH013303000,18
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bagulin,PH013304000,2
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Balaoan,PH013305000,1
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bangar,PH013306000,1
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Bauang,PH013307000,24
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Burgos,PH013308000,2
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Caba,PH013309000,2
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Luna,PH013310000,6
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Naguilian,PH013311000,1
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Pugo,PH013312000,45
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Rosario,PH013313000,34
Region I (Ilocos Region),PH010000000,La Union,PH013300000,City of San Fernando (Capital),PH013314000,1
Region I (Ilocos Region),PH010000000,La Union,PH013300000,San Gabriel,PH013315000,31
Region I (Ilocos Region),PH010000000,La Union,PH013300000,San Juan,PH013316000,8
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Santo Tomas,PH013317000,9
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Santol,PH013318000,12
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Sudipen,PH013319000,9
Region I (Ilocos Region),PH010000000,La Union,PH013300000,Tubao,PH013320000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Agno,PH015501000,23
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Aguilar,PH015502000,3
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Alaminos,PH015503000,49
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Alcala,PH015504000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Anda,PH015505000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Asingan,PH015506000,5
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Balungao,PH015507000,2
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bani,PH015508000,8
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Basista,PH015509000,2
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bautista,PH015510000,17
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bayambang,PH015511000,13
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binalonan,PH015512000,2
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Binmaley,PH015513000,3
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bolinao,PH015514000,6
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Bugallon,PH015515000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Burgos,PH015516000,16
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Calasiao,PH015517000,11
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Dagupan,PH015518000,21
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Dasol,PH015519000,18
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Infanta,PH015520000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Labrador,PH015521000,10
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Lingayen (Capital),PH015522000,3
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mabini,PH015523000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Malasiqui,PH015524000,2
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Manaoag,PH015525000,5
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangaldan,PH015526000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mangatarem,PH015527000,7
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Mapandan,PH015528000,3
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Natividad,PH015529000,5
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Pozorrubio,PH015530000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Rosales,PH015531000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of San Carlos,PH015532000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Fabian,PH015533000,3
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Jacinto,PH015534000,4
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Manuel,PH015535000,15
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Nicolas,PH015536000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,San Quintin,PH015537000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Barbara,PH015538000,11
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santa Maria,PH015539000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Santo Tomas,PH015540000,2
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sison,PH015541000,30
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Sual,PH015542000,19
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Tayug,PH015543000,13
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Umingan,PH015544000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Urbiztondo,PH015545000,7
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,City of Urdaneta,PH015546000,1
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Villasis,PH015547000,9
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,Laoac,PH015548000,8
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Basco (Capital),PH020901000,1
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Itbayat,PH020902000,5
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Ivana,PH020903000,1
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Mahatao,PH020904000,5
Region II (Cagayan Valley),PH020000000,Batanes,PH020900000,Sabtang,PH020905000,6
