Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Number of Households,Faucet/Community System,Tubed/Piped,Dug well,Bottled Water,Natural Sources,Peddler/Others/Not Reported
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Akbar,PH150708000,2820, 37 , 417 ," 2,351 ", 1 , 12 , 2 
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Al-Barka,PH150709000,3662,793,784,1064,8,1002,11
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,City of Lamitan (Capital),PH150702000,15065,6938,4041,2722,535,678,151
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Mohammad Ajul,PH150710000,2948,37,446,2440,12,6,7
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Hadji Muhtamad,PH150712000,3956,113,44,1696,16,6,2081
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Lantawan,PH150703000,4609,1385,1824,896,29,459,16
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Maluso,PH150704000,6294,4915,615,137,39,550,38
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Sumisip,PH150705000,7408,3937,1398,1232,47,570,224
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tabuan-Lasa,PH150713000,3615,70,223,3000,2,5,315
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tipo-Tipo,PH150706000,3149,1163,647,449,68,762,60
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Tuburan,PH150707000,3239,280,2093,781,18,66,1
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Basilan,PH150700000,Ungkaya Pukan,PH150711000,3095,1619,1055,14,9,258,140
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bacolod-Kalawi (Bacolod Grande),PH153601000,3300,49,786,4,8,2406,47
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Balabagan,PH153602000,4769,466,696,509,9,2475,614
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Balindong (Watu),PH153603000,4183,1237,1045,185,10,1702,4
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bayang,PH153604000,3536,4,787,5,24,2708,8
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Binidayan,PH153605000,3397,362,182,392,54,2406,1
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Buadiposo-Buntong,PH153633000,2529,658,66,29,298,1416,62
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bubong,PH153606000,3158,81,2,1,2,3071,1
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Bumbaran,PH153637000,1828,1424,396,1,0,5,2
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Butig,PH153607000,3098,125,2052,427,1,493,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Calanogas,PH153632000,2130,554,68,59,1,1448,0
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Ditsaan-Ramain,PH153624000,3227,406,751,2,325,1443,300
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Ganassi,PH153609000,3579,396,746,3,3,2430,1
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Kapai,PH153610000,2723,396,405,12,1,1908,1
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Kapatagan,PH153639000,2604,1889,76,304,0,166,169
Autonomous Region in Muslim Mindanao (ARMM),PH150000000,Lanao Del Sur,PH153600000,Lumba-Bayabao (Maguing),PH153611000,5768,178,297,4,195,5093,1
